address,name,area,floor
1466,두정역펜타폴리스,13.43,4
1466,두정역펜타폴리스,20.53,9
1466,두정역펜타폴리스,19.435,3
1466,두정역펜타폴리스,20.255,10
1466,두정역펜타폴리스,20.005,7
1466,두정역펜타폴리스,23.975,7
1466,두정역펜타폴리스,20.255,8
1466,두정역펜타폴리스,20.255,6
1466,두정역펜타폴리스,19.435,8
1466,두정역펜타폴리스,20.255,9
1466,두정역펜타폴리스,27.285,3
1466,두정역펜타폴리스,23.975,4
1466,두정역펜타폴리스,20.005,5
1466,두정역펜타폴리스,20.255,3
1466,두정역펜타폴리스,27.285,4
1466,두정역펜타폴리스,23.975,3
1466,두정역펜타폴리스,23.975,8
2037,두정역푸르지오,150.9459,21
2037,두정역푸르지오,84.9872,9
2037,두정역푸르지오,84.9872,15
2037,두정역푸르지오,101.9071,21
2037,두정역푸르지오,84.9403,26
2037,두정역푸르지오,75.516,10
2037,두정역푸르지오,84.9826,18
2037,두정역푸르지오,75.516,22
2037,두정역푸르지오,84.9403,22
2037,두정역푸르지오,84.9872,10
2037,두정역푸르지오,84.9826,21
2037,두정역푸르지오,84.9403,1
2037,두정역푸르지오,84.9403,7
2037,두정역푸르지오,84.9403,17
2037,두정역푸르지오,84.9403,14
2037,두정역푸르지오,84.9826,9
2037,두정역푸르지오,84.9403,6
2037,두정역푸르지오,84.9872,4
2037,두정역푸르지오,84.9403,15
2037,두정역푸르지오,84.9826,8
2037,두정역푸르지오,84.9826,3
2037,두정역푸르지오,84.9872,23
2037,두정역푸르지오,84.9826,11
2037,두정역푸르지오,75.516,7
2037,두정역푸르지오,84.9403,8
2037,두정역푸르지오,75.516,12
2037,두정역푸르지오,123.4878,18
2037,두정역푸르지오,84.9403,16
2037,두정역푸르지오,75.516,2
2037,두정역푸르지오,84.9872,8
2037,두정역푸르지오,84.9872,2
2037,두정역푸르지오,84.9826,25
2037,두정역푸르지오,84.9826,6
2037,두정역푸르지오,75.516,11
2037,두정역푸르지오,150.9459,1
2037,두정역푸르지오,84.9826,17
2037,두정역푸르지오,84.9872,12
2037,두정역푸르지오,84.9826,15
2037,두정역푸르지오,75.516,3
2037,두정역푸르지오,75.516,4
2037,두정역푸르지오,84.9872,11
2037,두정역푸르지오,84.9826,4
2037,두정역푸르지오,84.9403,20
2037,두정역푸르지오,84.9872,20
2037,두정역푸르지오,84.9826,24
2037,두정역푸르지오,101.9071,12
2037,두정역푸르지오,84.9826,19
2037,두정역푸르지오,84.9872,18
2037,두정역푸르지오,84.9872,21
2037,두정역푸르지오,84.9403,18
2037,두정역푸르지오,123.4878,13
2037,두정역푸르지오,75.516,16
63,두정역효성해링턴플레이스,71.66,19
63,두정역효성해링턴플레이스,84.93,25
63,두정역효성해링턴플레이스,59.92,27
63,두정역효성해링턴플레이스,71.66,25
63,두정역효성해링턴플레이스,84.93,5
63,두정역효성해링턴플레이스,59.92,12
63,두정역효성해링턴플레이스,59.92,20
63,두정역효성해링턴플레이스,59.92,22
63,두정역효성해링턴플레이스,59.96,15
63,두정역효성해링턴플레이스,84.97,22
63,두정역효성해링턴플레이스,59.92,24
63,두정역효성해링턴플레이스,59.92,13
63,두정역효성해링턴플레이스,59.92,5
63,두정역효성해링턴플레이스,59.86,5
63,두정역효성해링턴플레이스,59.86,14
63,두정역효성해링턴플레이스,59.92,11
63,두정역효성해링턴플레이스,71.42,29
63,두정역효성해링턴플레이스,59.86,27
63,두정역효성해링턴플레이스,59.86,30
63,두정역효성해링턴플레이스,59.92,25
63,두정역효성해링턴플레이스,59.86,1
63,두정역효성해링턴플레이스,59.92,3
63,두정역효성해링턴플레이스,71.66,1
63,두정역효성해링턴플레이스,59.86,26
63,두정역효성해링턴플레이스,84.93,12
63,두정역효성해링턴플레이스,59.96,28
63,두정역효성해링턴플레이스,59.86,12
63,두정역효성해링턴플레이스,71.66,18
63,두정역효성해링턴플레이스,51.92,31
63,두정역효성해링턴플레이스,51.92,14
63,두정역효성해링턴플레이스,59.96,4
63,두정역효성해링턴플레이스,51.87,18
63,두정역효성해링턴플레이스,59.86,16
63,두정역효성해링턴플레이스,59.92,23
63,두정역효성해링턴플레이스,51.92,24
63,두정역효성해링턴플레이스,59.92,8
63,두정역효성해링턴플레이스,59.86,21
63,두정역효성해링턴플레이스,59.96,27
63,두정역효성해링턴플레이스,71.4,24
63,두정역효성해링턴플레이스,51.92,26
63,두정역효성해링턴플레이스,59.86,23
63,두정역효성해링턴플레이스,59.92,14
63,두정역효성해링턴플레이스,59.86,11
63,두정역효성해링턴플레이스,59.86,7
63,두정역효성해링턴플레이스,59.92,26
63,두정역효성해링턴플레이스,51.92,15
63,두정역효성해링턴플레이스,59.86,19
63,두정역효성해링턴플레이스,84.93,21
63,두정역효성해링턴플레이스,71.4,2
63,두정역효성해링턴플레이스,84.97,3
63,두정역효성해링턴플레이스,71.66,16
63,두정역효성해링턴플레이스,59.92,15
63,두정역효성해링턴플레이스,51.87,10
63,두정역효성해링턴플레이스,51.92,32
63,두정역효성해링턴플레이스,51.92,6
63,두정역효성해링턴플레이스,59.86,13
63,두정역효성해링턴플레이스,59.96,21
63,두정역효성해링턴플레이스,59.86,29
