읍면동,번지,본번,부번,단지명,매매전월세구분,전용면적(㎡),계약년월,계약일,거래금액(만원),월세,층,건축년도,해제사유발생일,거래유형
두정동,2063,2063,0000,e편한세상두정3차,월세,59.9941,1,28,"         1,000",            79,12,2017,,중개거래
두정동,2063,2063,0000,e편한세상두정3차,월세,59.9941,1,28,"         1,000",            79,12,2017,,중개거래
두정동,1464,1464,0000,아크로텔천안두정,월세,17.6,1,28,"         1,000",            31,7,2015,,직거래
두정동,2045,2045,0000,두정역이안더센트럴,전세,114.946,1,29,"        37,000",             0,16,2011,,직거래
두정동,2055,2055,0000,이편한세상-천안두정2차,전세,84.6564,1,29,"        34,000",             0,17,2013,,직거래
두정동,2068,2068,0000,한화포레나천안두정,전세,76.7079,1,29,"        30,000",             0,24,2022,,직거래
두정동,2068,2068,0000,한화포레나천안두정,전세,76.7079,1,29,"        30,000",             0,24,2022,,직거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,전세,59.92,1,29,"        28,000",             0,20,2020,,직거래
두정동,527,0527,0000,주공그린(8단지),전세,59.97,1,29,"        16,800",             0,1,1996,,직거래
두정동,1377,1377,0000,프라지움9차,매매,49.9631,1,29,"        12,500",0,9,2017,,직거래
두정동,401-1,0401,0001,e편한세상두정4차,월세,72.8151,1,29,"         2,000",            60,2,2018,,직거래
두정동,527,0527,0000,주공그린(8단지),월세,59.97,1,29,"         1,000",            50,3,1996,,직거래
두정동,2045,2045,0000,두정역이안더센트럴,전세,84.925,1,3,"        20,000",             0,21,2011,,직거래
두정동,1864,1864,0000,우성,전세,84.855,1,3,"        16,275",             0,12,1996,,중개거래
두정동,526-1,0526,0001,극동늘푸른,전세,59.91,1,3,"        16,000",             0,10,1996,,중개거래
두정동,527,0527,0000,주공그린(8단지),월세,59.97,1,3,"         1,700",            60,6,1996,,중개거래
두정동,1466,1466,0000,두정역펜타폴리스,월세,19.435,1,3,           500,            28,11,2013,,중개거래
두정동,1486,1486,0000,두정미소마을,월세,17,1,3,           500,            30,6,2012,,직거래
두정동,1320,1320,0000,프라지움2,월세,20.142,1,3,           300,            33,10,2013,,중개거래
두정동,2045,2045,0000,두정역이안더센트럴,전세,84.925,1,4,"        21,500",             0,7,2011,,중개거래
두정동,2045,2045,0000,두정역이안더센트럴,전세,84.925,1,4,"        21,500",             0,7,2011,,중개거래
두정동,1864,1864,0000,우성,매매,59.695,1,4,"        18,200",0,11,1996,,중개거래
두정동,1864,1864,0000,우성,전세,59.695,1,4,"        16,700",             0,11,1996,,중개거래
두정동,527,0527,0000,주공그린(8단지),전세,59.97,1,4,"        16,000",             0,7,1996,,중개거래
두정동,1000,1000,0000,한성스위트빌,전세,71.0431,1,4,"        15,750",             0,14,2002,,중개거래
두정동,1466,1466,0000,두정역펜타폴리스,전세,19.435,1,4,"         3,200",             0,4,2013,,중개거래
두정동,1293,1293,0000,천안펜타폴리스2차,월세,19.47,1,4,           300,            30,4,2013,,중개거래
두정동,1311,1311,0000,리찌하우스,월세,22.23,1,4,           200,            41,4,2013,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,매매,59.92,1,5,"        39,500",0,24,2020,,중개거래
두정동,2045,2045,0000,두정역이안더센트럴,매매,84.966,1,5,"        35,900",0,6,2011,225,중개거래
두정동,2045,2045,0000,두정역이안더센트럴,매매,84.966,1,5,"        35,900",0,6,2011,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,전세,59.92,1,5,"        32,000",             0,13,2020,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,전세,59.92,1,5,"        31,500",             0,5,2020,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,전세,59.86,1,5,"        30,000",             0,5,2020,,중개거래
두정동,1607,1607,0000,우남2차,전세,84.9154,1,5,"        21,000",             0,12,2003,,직거래
두정동,526-1,0526,0001,극동늘푸른,전세,59.91,1,5,"        19,000",             0,12,1996,,중개거래
두정동,526-1,0526,0001,극동늘푸른,전세,84.9,1,5,"        16,000",             0,1,1996,,중개거래
