dong,address,par_add,sub_add,name,deal,area,month,day,acount,rent,floor,year,property,station_area
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,16,10400,19,14,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,16,9000,23,5,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,16,9000,23,14,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,16,9000,23,13,2020,직거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,16,9000,23,13,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,16,9000,23,10,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,16,6300,40,2,2020,직거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,16,5400,33,10,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,16,5400,33,5,2020,직거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,84.92,6,17,11200,21,17,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,17,10400,28,10,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,17,10400,28,8,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,17,10400,28,8,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,17,9000,23,18,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,17,9000,23,14,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,17,8800,15,15,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,17,8400,24,7,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,17,5400,33,2,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,17,5400,33,2,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,17,5400,33,22,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,17,5300,25,7,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,84.92,6,2,11200,32,19,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,84.92,6,2,11200,21,2,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,2,10400,28,13,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,2,10400,28,19,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,2,10400,19,6,2020,직거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,2,10400,28,3,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,84.92,6,2,9000,38,16,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,2,9000,23,5,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,2,9000,23,17,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,2,9000,33,17,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,2,8800,15,8,2020,직거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,2,8800,15,5,2020,직거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,2,8400,34,12,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,2,6300,40,5,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,2,6300,40,16,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,2,5400,33,19,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,2,5400,33,17,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,2,5400,33,22,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,84.92,6,20,11200,32,9,2020,중개거래,
