address,name,deal,area,month,day,acount,rent,floor,property
2056,두정역코아루스위트,매매,84.9345,1,22,34500,0,4,중개거래
2056,두정역코아루스위트,매매,84.9523,1,7,36000,0,5,중개거래
2056,두정역코아루스위트,매매,127.1148,2,25,47000,0,6,중개거래
2056,두정역코아루스위트,매매,84.9523,3,4,33300,0,11,중개거래
2056,두정역코아루스위트,매매,110.908,4,18,42000,0,11,중개거래
2056,두정역코아루스위트,매매,99.8942,4,21,40500,0,11,중개거래
2056,두정역코아루스위트,매매,99.8912,4,29,40000,0,13,중개거래
2056,두정역코아루스위트,매매,99.8942,5,11,38500,0,5,중개거래
2056,두정역코아루스위트,매매,84.8198,5,17,34800,0,5,중개거래
2056,두정역코아루스위트,매매,99.8912,5,20,39100,0,11,중개거래
2056,두정역코아루스위트,매매,110.908,7,15,40000,0,18,중개거래
2056,두정역코아루스위트,매매,110.908,7,16,44500,0,12,중개거래
2056,두정역코아루스위트,매매,99.8912,7,9,35000,0,15,중개거래
2056,두정역코아루스위트,매매,84.9345,9,17,32000,0,13,중개거래
2056,두정역코아루스위트,매매,84.9523,9,25,32000,0,10,중개거래
2056,두정역코아루스위트,매매,84.9523,10,29,34000,0,17,직거래
2056,두정역코아루스위트,매매,99.8912,10,5,36100,0,17,직거래
1466,두정역펜타폴리스,매매,20.255,1,15,3800,0,7,직거래
1466,두정역펜타폴리스,매매,27.285,1,20,6100,0,8,직거래
1466,두정역펜타폴리스,매매,19.435,1,20,3450,0,6,중개거래
1466,두정역펜타폴리스,매매,19.435,1,27,3800,0,9,중개거래
1466,두정역펜타폴리스,매매,20.53,2,14,4200,0,9,직거래
1466,두정역펜타폴리스,매매,20.005,4,18,3600,0,7,직거래
1466,두정역펜타폴리스,매매,19.435,4,21,4350,0,8,직거래
1466,두정역펜타폴리스,매매,27.285,5,20,4900,0,3,중개거래
1466,두정역펜타폴리스,매매,20.005,6,10,4100,0,5,중개거래
1466,두정역펜타폴리스,매매,27.285,7,2,4900,0,4,중개거래
1466,두정역펜타폴리스,매매,23.975,7,22,4950,0,3,중개거래
1466,두정역펜타폴리스,매매,23.975,8,16,5500,0,8,중개거래
1466,두정역펜타폴리스,매매,23.975,8,30,5500,0,4,중개거래
1466,두정역펜타폴리스,매매,19.435,9,16,3700,0,6,중개거래
2037,두정역푸르지오,매매,84.9403,1,22,37300,0,26,중개거래
2037,두정역푸르지오,매매,84.9872,2,12,39000,0,10,중개거래
2037,두정역푸르지오,매매,84.9826,3,4,35500,0,8,중개거래
2037,두정역푸르지오,매매,84.9872,4,16,40000,0,23,중개거래
2037,두정역푸르지오,매매,84.9826,4,26,37000,0,11,중개거래
2037,두정역푸르지오,매매,75.516,4,28,35000,0,7,중개거래
2037,두정역푸르지오,매매,123.4878,4,9,52000,0,18,중개거래
2037,두정역푸르지오,매매,84.9872,5,20,36000,0,8,중개거래
2037,두정역푸르지오,매매,84.9826,5,23,39000,0,25,중개거래
2037,두정역푸르지오,매매,150.9459,5,4,49000,0,1,중개거래
2037,두정역푸르지오,매매,75.516,6,22,33800,0,3,중개거래
2037,두정역푸르지오,매매,84.9403,9,19,33000,0,1,중개거래
2037,두정역푸르지오,매매,101.9071,9,21,44400,0,12,중개거래
2037,두정역푸르지오,매매,84.9403,10,19,29500,0,18,중개거래
2037,두정역푸르지오,매매,123.4878,10,21,50000,0,13,중개거래
63,두정역효성해링턴플레이스,매매,71.66,1,15,49000,0,19,중개거래
63,두정역효성해링턴플레이스,매매,71.66,1,19,50000,0,25,중개거래
63,두정역효성해링턴플레이스,매매,84.93,1,20,57000,0,5,중개거래
63,두정역효성해링턴플레이스,매매,59.92,1,22,38500,0,20,중개거래
63,두정역효성해링턴플레이스,매매,59.92,1,27,39000,0,27,중개거래
63,두정역효성해링턴플레이스,매매,59.92,1,5,39500,0,24,중개거래
63,두정역효성해링턴플레이스,매매,59.92,2,16,39500,0,20,중개거래
63,두정역효성해링턴플레이스,매매,59.86,2,26,41500,0,16,중개거래
63,두정역효성해링턴플레이스,매매,59.96,2,9,39000,0,27,중개거래
63,두정역효성해링턴플레이스,매매,59.86,3,12,40000,0,23,직거래
63,두정역효성해링턴플레이스,매매,59.86,3,15,39900,0,19,중개거래
63,두정역효성해링턴플레이스,매매,71.66,3,19,48000,0,16,중개거래
63,두정역효성해링턴플레이스,매매,51.92,3,25,31000,0,32,중개거래
63,두정역효성해링턴플레이스,매매,51.92,3,25,30000,0,6,중개거래
63,두정역효성해링턴플레이스,매매,59.86,3,28,40500,0,13,중개거래
63,두정역효성해링턴플레이스,매매,59.96,3,28,38000,0,21,중개거래
63,두정역효성해링턴플레이스,매매,51.92,4,11,32300,0,14,중개거래
63,두정역효성해링턴플레이스,매매,84.82,4,12,54500,0,13,중개거래
63,두정역효성해링턴플레이스,매매,51.92,4,14,33500,0,16,중개거래
63,두정역효성해링턴플레이스,매매,59.86,4,18,37900,0,4,중개거래
63,두정역효성해링턴플레이스,매매,59.86,4,2,39000,0,22,중개거래
63,두정역효성해링턴플레이스,매매,59.86,4,2,37900,0,9,중개거래
63,두정역효성해링턴플레이스,매매,59.86,4,20,39700,0,5,중개거래
63,두정역효성해링턴플레이스,매매,59.92,4,23,34500,0,5,중개거래
63,두정역효성해링턴플레이스,매매,59.86,4,25,38000,0,7,중개거래
63,두정역효성해링턴플레이스,매매,51.92,4,4,31000,0,27,중개거래
63,두정역효성해링턴플레이스,매매,59.92,5,21,37000,0,6,중개거래
63,두정역효성해링턴플레이스,매매,71.66,5,22,45400,0,11,중개거래
63,두정역효성해링턴플레이스,매매,71.66,5,22,45400,0,11,중개거래
63,두정역효성해링턴플레이스,매매,59.92,5,24,34500,0,22,중개거래
63,두정역효성해링턴플레이스,매매,59.92,5,24,34500,0,24,직거래
63,두정역효성해링턴플레이스,매매,59.86,5,25,39000,0,13,중개거래
63,두정역효성해링턴플레이스,매매,84.93,5,28,54000,0,24,중개거래
63,두정역효성해링턴플레이스,매매,59.86,5,28,40000,0,21,중개거래
63,두정역효성해링턴플레이스,매매,59.96,5,30,34000,0,2,중개거래
63,두정역효성해링턴플레이스,매매,59.86,5,7,40000,0,10,중개거래
63,두정역효성해링턴플레이스,매매,59.86,5,7,40000,0,10,중개거래
63,두정역효성해링턴플레이스,매매,51.92,5,7,30000,0,3,중개거래
63,두정역효성해링턴플레이스,매매,59.86,6,12,36500,0,28,중개거래
63,두정역효성해링턴플레이스,매매,84.93,6,2,53300,0,27,중개거래
63,두정역효성해링턴플레이스,매매,59.86,6,26,34800,0,4,중개거래
63,두정역효성해링턴플레이스,매매,59.92,6,27,33000,0,10,중개거래
63,두정역효성해링턴플레이스,매매,84.93,6,4,50000,0,3,중개거래
63,두정역효성해링턴플레이스,매매,51.92,7,11,29100,0,18,직거래
63,두정역효성해링턴플레이스,매매,51.92,7,11,28000,0,18,중개거래
63,두정역효성해링턴플레이스,매매,71.4,7,13,42000,0,20,직거래
63,두정역효성해링턴플레이스,매매,59.92,7,16,35000,0,15,중개거래
63,두정역효성해링턴플레이스,매매,59.86,7,16,32000,0,25,중개거래
63,두정역효성해링턴플레이스,매매,59.96,7,19,33000,0,15,중개거래
63,두정역효성해링턴플레이스,매매,51.92,7,22,27800,0,6,중개거래
63,두정역효성해링턴플레이스,매매,59.86,7,24,29900,0,3,중개거래
63,두정역효성해링턴플레이스,매매,59.92,7,4,34000,0,21,중개거래
63,두정역효성해링턴플레이스,매매,51.92,7,4,28000,0,15,중개거래
63,두정역효성해링턴플레이스,매매,51.87,7,5,28300,0,23,중개거래
63,두정역효성해링턴플레이스,매매,71.4,7,6,42000,0,23,중개거래
63,두정역효성해링턴플레이스,매매,71.4,7,6,40500,0,8,중개거래
63,두정역효성해링턴플레이스,매매,59.86,7,9,33500,0,31,중개거래
63,두정역효성해링턴플레이스,매매,59.86,8,1,33000,0,22,중개거래
63,두정역효성해링턴플레이스,매매,59.86,8,1,31500,0,13,중개거래
63,두정역효성해링턴플레이스,매매,59.96,8,10,31400,0,21,중개거래
63,두정역효성해링턴플레이스,매매,59.92,8,12,31000,0,12,중개거래
63,두정역효성해링턴플레이스,매매,71.42,8,13,39800,0,17,중개거래
63,두정역효성해링턴플레이스,매매,59.96,8,13,31000,0,20,중개거래
