address,name,deal,area,month,day,acount,floor,property,
1332,더리치빌2,전세,24.02,7,14,5800,5,중개거래,
1332,더리치빌2,전세,38.672,7,18,8900,4,중개거래,
1332,더리치빌2,전세,33.38,7,27,8000,10,중개거래,
1332,더리치빌2,전세,24.02,8,1,5800,3,중개거래,
1332,더리치빌2,전세,20.66,8,29,4800,10,중개거래,
1332,더리치빌2,전세,38.672,8,6,9000,4,중개거래,
1332,더리치빌2,전세,24.02,9,20,5800,4,중개거래,
1332,더리치빌2,전세,20.32,9,23,4800,9,중개거래,
1332,더리치빌2,전세,20.32,9,26,4800,6,중개거래,
1332,더리치빌2,전세,33.38,9,3,7600,9,직거래,
1332,더리치빌2,전세,20.66,9,5,4500,8,중개거래,
1332,더리치빌2,전세,20.32,10,14,4500,10,직거래,
1308,더쉼,전세,19.0375,5,14,4500,5,중개거래,
1308,더쉼,전세,38.2663,7,20,7000,2,중개거래,
1308,더쉼,전세,19.3275,8,1,4500,8,중개거래,
1308,더쉼,전세,23.4925,8,26,5000,9,중개거래,
1308,더쉼,전세,23.4925,9,19,5000,9,중개거래,
1593,두정3푸르지오,전세,84.9,2,18,17000,13,중개거래,
1593,두정3푸르지오,전세,73.005,2,20,20700,14,중개거래,
1593,두정3푸르지오,전세,73.005,2,20,20700,14,직거래,
1593,두정3푸르지오,전세,84.9,3,10,18690,3,중개거래,
1593,두정3푸르지오,전세,84.9,3,10,18690,3,중개거래,
1593,두정3푸르지오,전세,84.9,3,14,20500,5,중개거래,
1593,두정3푸르지오,전세,84.9,4,21,18370,9,중개거래,
1593,두정3푸르지오,전세,84.9,5,28,21000,8,중개거래,
1593,두정3푸르지오,전세,84.9,6,3,20000,15,직거래,
1593,두정3푸르지오,전세,84.9,7,15,17850,4,직거래,
1593,두정3푸르지오,전세,84.9,7,15,17850,4,중개거래,
1593,두정3푸르지오,전세,84.9,7,8,21000,11,중개거래,
1593,두정3푸르지오,전세,84.9,8,21,22000,10,중개거래,
1593,두정3푸르지오,전세,73.005,9,17,19000,4,직거래,
1593,두정3푸르지오,전세,84.9,10,4,19500,2,중개거래,
666,두정4차푸르지오,전세,75.19,3,1,22000,12,중개거래,
666,두정4차푸르지오,전세,75.19,3,28,23000,11,중개거래,
666,두정4차푸르지오,전세,75.19,4,26,20000,13,직거래,
666,두정4차푸르지오,전세,75.19,4,26,20000,13,중개거래,
666,두정4차푸르지오,전세,75.19,5,10,18300,14,중개거래,
666,두정4차푸르지오,전세,75.19,5,16,20000,8,중개거래,
666,두정4차푸르지오,전세,84.9,5,16,19400,7,중개거래,
666,두정4차푸르지오,전세,75.19,5,25,17850,3,중개거래,
666,두정4차푸르지오,전세,75.19,5,4,18900,8,중개거래,
666,두정4차푸르지오,전세,84.9,6,17,20000,6,직거래,
666,두정4차푸르지오,전세,84.9,6,3,24000,11,직거래,
666,두정4차푸르지오,전세,84.9,7,1,18900,2,중개거래,
2010,두정5차푸르지오,전세,84.742,5,22,23000,8,중개거래,
1486,두정미소마을,전세,17,9,3,3500,2,중개거래,두정역
2045,두정역이안더센트럴,전세,84.925,1,1,31000,5,중개거래,
2045,두정역이안더센트럴,전세,84.975,1,14,30000,17,중개거래,
2045,두정역이안더센트럴,전세,84.966,1,15,32000,10,중개거래,
2045,두정역이안더센트럴,전세,102.503,1,24,24000,11,중개거래,
2045,두정역이안더센트럴,전세,102.503,1,26,35000,20,중개거래,
2045,두정역이안더센트럴,전세,114.946,1,29,37000,16,직거래,
2045,두정역이안더센트럴,전세,84.925,1,3,20000,21,직거래,
2045,두정역이안더센트럴,전세,84.925,1,4,21500,7,중개거래,
2045,두정역이안더센트럴,전세,84.925,1,4,21500,7,중개거래,
2045,두정역이안더센트럴,전세,102.503,1,7,34500,22,중개거래,
2045,두정역이안더센트럴,전세,84.925,1,7,21000,17,중개거래,
2045,두정역이안더센트럴,전세,84.925,2,10,27000,20,중개거래,
2045,두정역이안더센트럴,전세,84.975,2,18,26000,4,중개거래,
2045,두정역이안더센트럴,전세,84.966,2,25,29000,6,중개거래,
2045,두정역이안더센트럴,전세,84.975,2,27,28000,8,중개거래,
2045,두정역이안더센트럴,전세,84.925,2,8,21000,22,중개거래,
2045,두정역이안더센트럴,전세,84.975,3,1,30000,14,중개거래,
2045,두정역이안더센트럴,전세,84.925,3,11,22000,6,직거래,
2045,두정역이안더센트럴,전세,84.966,3,13,27500,10,중개거래,
2045,두정역이안더센트럴,전세,84.925,3,26,21000,19,중개거래,
2045,두정역이안더센트럴,전세,102.503,3,28,23000,4,중개거래,
2045,두정역이안더센트럴,전세,84.975,4,1,24000,16,중개거래,
2045,두정역이안더센트럴,전세,84.925,4,2,21000,6,중개거래,
2045,두정역이안더센트럴,전세,84.975,4,22,25000,6,중개거래,
2045,두정역이안더센트럴,전세,114.946,4,23,31000,10,중개거래,
2045,두정역이안더센트럴,전세,84.925,4,23,25000,18,중개거래,
